seed,batch_fac_loc,confounding,conf_nmi,n_cells,n_genes,oracle_traj_var,tag,arm,method,kbet,asw_batch,ilisi,pcr_batch,traj_var,TVR,bio_removed,step_var,rho_true,knn_oracle,branch_ari,local_time_disp,nbr_purity,seconds,supervised,scib_traj_cons
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,oracle,oracle,0.955,0.9832496047019958,0.5642328262329102,0.0004011362947739764,0.36424390142260954,1.0,0.0,0.2530885890929942,0.6948938043206205,1.0,0.49043775427587355,0.41761481165012704,0.63975,0.0,False,
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,uncorrected,0.08083333333333333,0.9190679788589478,0.10022926330566406,0.16983846855626772,0.31946441271660475,0.8770618024595286,0.12293819754047142,0.2239897859301014,0.8669062910749349,0.07883333333333332,0.3787585630796155,0.45070561061252207,0.6050555555555556,0.14,False,0.9122235814052648
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,ComBat,0.9725,0.9832051992416382,0.5831320285797119,2.4453051350672495e-05,0.35726299187478416,0.9808345190665915,0.01916548093340853,0.2489663052503743,0.9280676501957016,0.08383333333333333,0.45908233770727724,0.42659255556078673,0.62325,0.37,False,0.8275553871912411
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,Harmony,0.9658333333333333,0.9851610064506531,0.5818800926208496,0.0,0.3560226652094783,0.9774293099183762,0.022570690081623823,0.2500889411788931,0.9286391579964343,0.08488888888888889,0.43604637817136555,0.42525868821202284,0.6313055555555556,0.24,False,0.9541637484716373
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,Scanorama-embed,0.9283333333333333,0.97934889793396,0.5550844669342041,0.0005919981276455214,0.3579620199732326,0.9827536400064845,0.017246359993515537,0.26169384797819273,0.9137033951046118,0.07288888888888889,0.5009571848080472,0.44974740386402234,0.6206111111111111,2.25,False,0.9439691763674836
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,Scanorama-matrix,0.9366666666666666,0.9750688076019287,0.5697641372680664,0.0028937867876735893,0.3918199479136041,1.0757076409057011,-0.07570764090570115,0.2740682715104207,0.9373430059653118,0.08358333333333333,0.4640774307772285,0.3993054406546459,0.6615833333333333,0.09,False,0.9489500548264269
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,BBKNN,0.91,0.9493597745895386,0.5253243446350098,0.0010409557833210722,0.2299029676492024,0.6311786326449987,0.36882136735500126,0.1275899506133591,0.8816480027069651,0.08466666666666667,0.3113386797217254,0.37889454804029593,0.68975,1.2,False,0.8099354756496359
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,scVI,0.9725,0.9733275771141052,0.5705416202545166,2.3817145426865e-05,0.15514243593529103,0.4259300851142842,0.5740699148857158,0.10256785339074596,0.736578901074519,0.06275,0.2763782596941496,0.5440436588868393,0.5491944444444444,38.24,False,0.786430230159882
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,scANVI,0.965,0.9735738039016724,0.566460371017456,9.892623137673053e-05,0.24278395704678962,0.666542270436266,0.333457729563734,0.1650846912603657,0.9056021664722315,0.07161111111111111,0.4307488018835157,0.4362072891849377,0.7190277777777778,53.31,True,0.9001668091436175
1,0.1,0.0,0.0016,1200,1868,0.36424390142260954,E1,batch,scGen,0.115,0.9082998037338257,0.1146249771118164,0.15276608370593212,0.3154416801797473,0.8660177396182672,0.13398226038173278,0.236352632678942,0.7598847886300997,0.07022222222222223,0.29800912460392676,0.45959080046224704,0.6201111111111111,16.8,True,0.840370243312669
